N Rate,Rep!,Sample no!,Cabon Substrate Number!,Cabon Substrate!,%CO2,,,,Sample #,N Rate,Rep!,Shanon diversity index H=               -Σpi*(LnPi),"Substrate Richness (S) =sum of all wells greater than the control, or greater than 0 for adjusted well",Substrate eveness (E)= H/logS
400,1,5254,Water,Water,0.08,,,,,,,,,
500,1,5255,1,L-Arabinose,0.77,,,,,,,,,
500,1,5255,2,D-Fructose,0.92,,,,,,,,,
500,1,5255,3,D-Galactose,0.46,,,,,,,,,
500,1,5255,4,D-Glucose,0.81,,,,,,,,,
500,1,5255,5,N-Acetyl-D-glucosamine,0.17,,,,,,,,,
500,1,5255,6,Citric acid,4.23,,,,,,,,,
500,1,5255,7,Oxalic acid,3.16,,,,,,,,,
500,1,5255,8,L-Malic acid,2.07,,,,,,,,,
500,1,5255,9,Fumaric acid,0.31,,,,,,,,,
500,1,5255,10,L-Alanine,0.17,,,,,,,,,
500,1,5255,11,DL-aspatic acid,0.27,,,,,,,,,
500,1,5255,12,γ-Aminobutyric acid,0.19,,,,,,,,,
500,1,5255,13,L-lysine hydrochloride,0.13,,,,,,,,,
500,1,5255,14,L-Arginine,0.04,,,,,,,,,
500,1,5255,15,Protocatechuic acid,0.15,,,,,,,,,
500,1,5255,Water,Water,0.07,,,,,,,,,
0,5,5251,1,L-Arabinose,2.11,,,,,,,,,
0,5,5251,2,D-Fructose,1.94,,,,,,,,,
0,5,5251,3,D-Galactose,1.66,,,,,,,,,
0,5,5251,4,D-Glucose,1.56,,,,,,,,,
0,5,5251,5,N-Acetyl-D-glucosamine,0.39,,,,,,,,,
0,5,5251,6,Citric acid,6.12,,,,,,,,,
0,5,5251,7,Oxalic acid,4.53,,,,,,,,,
0,5,5251,8,L-Malic acid,3.69,,,,,,,,,
0,5,5251,9,Fumaric acid,0.23,,,,,,,,,
0,5,5251,10,L-Alanine,0.27,,,,,,,,,
0,5,5251,11,DL-aspatic acid,0.43,,,,,,,,,
0,5,5251,12,γ-Aminobutyric acid,0.22,,,,,,,,,
0,5,5251,13,L-lysine hydrochloride,0.13,,,,,,,,,
0,5,5251,14,L-Arginine,0.04,,,,,,,,,
0,5,5251,15,Protocatechuic acid,0.17,,,,,,,,,
0,5,5251,Water,Water,0.09,,,,,,,,,
0,2,5256,1,L-Arabinose,1.16,,,,,,,,,
0,2,5256,2,D-Fructose,1.24,,,,,,,,,
0,2,5256,3,D-Galactose,0.89,,,,,,,,,
0,2,5256,4,D-Glucose,1,,,,,,,,,
0,2,5256,5,N-Acetyl-D-glucosamine,0.25,,,,,,,,,
0,2,5256,6,Citric acid,3.99,,,,,,,,,
0,2,5256,7,Oxalic acid,3.88,,,,,,,,,
0,2,5256,8,L-Malic acid,2.09,,,,,,,,,
0,2,5256,9,Fumaric acid,0.45,,,,,,,,,
0,2,5256,10,L-Alanine,0.27,,,,,,,,,
0,2,5256,11,DL-aspatic acid,0.22,,,,,,,,,
0,2,5256,12,γ-Aminobutyric acid,0.24,,,,,,,,,
0,2,5256,13,L-lysine hydrochloride,0.14,,,,,,,,,
0,2,5256,14,L-Arginine,0.05,,,,,,,,,
0,2,5256,15,Protocatechuic acid,0.29,,,,,,,,,
0,2,5256,Water,Water,0.09,,,,,,,,,
0,6,5257,1,L-Arabinose,0.97,,,,,,,,,
0,6,5257,2,D-Fructose,1.26,,,,,,,,,
0,6,5257,3,D-Galactose,1.1,,,,,,,,,
0,6,5257,4,D-Glucose,0.34,,,,,,,,,
0,6,5257,5,N-Acetyl-D-glucosamine,0.35,,,,,,,,,
0,6,5257,6,Citric acid,3.65,,,,,,,,,
0,6,5257,7,Oxalic acid,3.41,,,,,,,,,
0,6,5257,8,L-Malic acid,3.33,,,,,,,,,
0,6,5257,9,Fumaric acid,0.27,,,,,,,,,
0,6,5257,10,L-Alanine,0.23,,,,,,,,,
0,6,5257,11,DL-aspatic acid,0.38,,,,,,,,,
0,6,5257,12,γ-Aminobutyric acid,0.22,,,,,,,,,
0,6,5257,13,L-lysine hydrochloride,0.17,,,,,,,,,
0,6,5257,14,L-Arginine,0.05,,,,,,,,,
0,6,5257,15,Protocatechuic acid,0.31,,,,,,,,,
0,6,5257,Water,Water,0.08,,,,,,,,,
200,2,5258,1,L-Arabinose,1.13,,,,,,,,,
200,2,5258,2,D-Fructose,1.31,,,,,,,,,
200,2,5258,3,D-Galactose,0.74,,,,,,,,,
200,2,5258,4,D-Glucose,0.82,,,,,,,,,
200,2,5258,5,N-Acetyl-D-glucosamine,0.39,,,,,,,,,
200,2,5258,6,Citric acid,1.31,,,,,,,,,
200,2,5258,7,Oxalic acid,3.05,,,,,,,,,
200,2,5258,8,L-Malic acid,2.18,,,,,,,,,
200,2,5258,9,Fumaric acid,0.5,,,,,,,,,
200,2,5258,10,L-Alanine,0.31,,,,,,,,,
200,2,5258,11,DL-aspatic acid,0.34,,,,,,,,,
200,2,5258,12,γ-Aminobutyric acid,0.28,,,,,,,,,
200,2,5258,13,L-lysine hydrochloride,0.11,,,,,,,,,
200,2,5258,14,L-Arginine,0.04,,,,,,,,,
200,2,5258,15,Protocatechuic acid,0.25,,,,,,,,,
200,2,5258,Water,Water,0.09,,,,,,,,,
300,2,5259,1,L-Arabinose,0.71,,,,,,,,,
300,2,5259,2,D-Fructose,0.67,,,,,,,,,
300,2,5259,3,D-Galactose,0.6,,,,,,,,,
300,2,5259,4,D-Glucose,0.54,,,,,,,,,
300,2,5259,5,N-Acetyl-D-glucosamine,0.22,,,,,,,,,
300,2,5259,6,Citric acid,4.34,,,,,,,,,
300,2,5259,7,Oxalic acid,2.44,,,,,,,,,
300,2,5259,8,L-Malic acid,1.41,,,,,,,,,
300,2,5259,9,Fumaric acid,0.21,,,,,,,,,
300,2,5259,10,L-Alanine,0.2,,,,,,,,,
300,2,5259,11,DL-aspatic acid,0.19,,,,,,,,,
300,2,5259,12,γ-Aminobutyric acid,0.21,,,,,,,,,
300,2,5259,13,L-lysine hydrochloride,0.11,,,,,,,,,
300,2,5259,14,L-Arginine,0.04,,,,,,,,,
300,2,5259,15,Protocatechuic acid,0.23,,,,,,,,,
300,2,5259,Water,Water,0.08,,,,,,,,,
400,2,5260,1,L-Arabinose,0.79,,,,,,,,,
400,2,5260,2,D-Fructose,1.16,,,,,,,,,
400,2,5260,3,D-Galactose,0.57,,,,,,,,,
400,2,5260,4,D-Glucose,0.76,,,,,,,,,
400,2,5260,5,N-Acetyl-D-glucosamine,0.4,,,,,,,,,
400,2,5260,6,Citric acid,3.12,,,,,,,,,
400,2,5260,7,Oxalic acid,2.1,,,,,,,,,
400,2,5260,8,L-Malic acid,1.84,,,,,,,,,
400,2,5260,9,Fumaric acid,0.52,,,,,,,,,
400,2,5260,10,L-Alanine,0.29,,,,,,,,,
400,2,5260,11,DL-aspatic acid,0.37,,,,,,,,,
400,2,5260,12,γ-Aminobutyric acid,0.1,,,,,,,,,
400,2,5260,13,L-lysine hydrochloride,0.13,,,,,,,,,
400,2,5260,14,L-Arginine,0.05,,,,,,,,,
400,2,5260,15,Protocatechuic acid,0.2,,,,,,,,,
400,2,5260,Water,Water,0.08,,,,,,,,,
500,2,5261,1,L-Arabinose,0.44,,,,,,,,,
500,2,5261,2,D-Fructose,0.52,,,,,,,,,
500,2,5261,3,D-Galactose,0.42,,,,,,,,,
500,2,5261,4,D-Glucose,0.22,,,,,,,,,
500,2,5261,5,N-Acetyl-D-glucosamine,0.16,,,,,,,,,
500,2,5261,6,Citric acid,3.5,,,,,,,,,
500,2,5261,7,Oxalic acid,2.27,,,,,,,,,
500,2,5261,8,L-Malic acid,1.88,,,,,,,,,
500,2,5261,9,Fumaric acid,0.24,,,,,,,,,
500,2,5261,10,L-Alanine,0.21,,,,,,,,,
500,2,5261,11,DL-aspatic acid,0.18,,,,,,,,,
500,2,5261,12,γ-Aminobutyric acid,0.15,,,,,,,,,
500,2,5261,13,L-lysine hydrochloride,0.1,,,,,,,,,
500,2,5261,14,L-Arginine,0.05,,,,,,,,,
500,2,5261,15,Protocatechuic acid,0.06,,,,,,,,,
500,2,5261,Water,Water,0.06,,,,,,,,,
0,3,5262,1,L-Arabinose,0.79,,,,,,,,,
0,3,5262,2,D-Fructose,0.91,,,,,,,,,
0,3,5262,3,D-Galactose,0.71,,,,,,,,,
0,3,5262,4,D-Glucose,1.17,,,,,,,,,
0,3,5262,5,N-Acetyl-D-glucosamine,0.2,,,,,,,,,
0,3,5262,6,Citric acid,5.9,,,,,,,,,
0,3,5262,7,Oxalic acid,3.8,,,,,,,,,
0,3,5262,8,L-Malic acid,3.23,,,,,,,,,
0,3,5262,9,Fumaric acid,0.25,,,,,,,,,
0,3,5262,10,L-Alanine,0.12,,,,,,,,,
0,3,5262,11,DL-aspatic acid,0.25,,,,,,,,,
0,3,5262,12,γ-Aminobutyric acid,0.12,,,,,,,,,
0,3,5262,13,L-lysine hydrochloride,0.1,,,,,,,,,
0,3,5262,14,L-Arginine,0.04,,,,,,,,,
0,3,5262,15,Protocatechuic acid,0.15,,,,,,,,,
0,3,5262,Water,Water,0.07,,,,,,,,,
0,4,5263,1,L-Arabinose,0.93,,,,,,,,,
0,4,5263,2,D-Fructose,1.06,,,,,,,,,
0,4,5263,3,D-Galactose,0.75,,,,,,,,,
0,4,5263,4,D-Glucose,0.75,,,,,,,,,
0,4,5263,5,N-Acetyl-D-glucosamine,0.16,,,,,,,,,
0,4,5263,6,Citric acid,5.29,,,,,,,,,
0,4,5263,7,Oxalic acid,3.07,,,,,,,,,
0,4,5263,8,L-Malic acid,2.71,,,,,,,,,
0,4,5263,9,Fumaric acid,0.24,,,,,,,,,
0,4,5263,10,L-Alanine,0.13,,,,,,,,,
0,4,5263,11,DL-aspatic acid,0.21,,,,,,,,,
0,4,5263,12,γ-Aminobutyric acid,0.15,,,,,,,,,
0,4,5263,13,L-lysine hydrochloride,0.1,,,,,,,,,
0,4,5263,14,L-Arginine,0.04,,,,,,,,,
0,4,5263,15,Protocatechuic acid,0.18,,,,,,,,,
0,4,5263,Water,Water,0.07,,,,,,,,,
200,3,5264,1,L-Arabinose,0.37,,,,,,,,,
200,3,5264,2,D-Fructose,0.49,,,,,,,,,
200,3,5264,3,D-Galactose,0.57,,,,,,,,,
200,3,5264,4,D-Glucose,0.53,,,,,,,,,
200,3,5264,5,N-Acetyl-D-glucosamine,0.15,,,,,,,,,
200,3,5264,6,Citric acid,5.21,,,,,,,,,
200,3,5264,7,Oxalic acid,2.61,,,,,,,,,
200,3,5264,8,L-Malic acid,2.1,,,,,,,,,
200,3,5264,9,Fumaric acid,0.19,,,,,,,,,
200,3,5264,10,L-Alanine,0.14,,,,,,,,,
200,3,5264,11,DL-aspatic acid,0.18,,,,,,,,,
200,3,5264,12,γ-Aminobutyric acid,0.16,,,,,,,,,
200,3,5264,13,L-lysine hydrochloride,0.09,,,,,,,,,
200,3,5264,14,L-Arginine,0.04,,,,,,,,,
200,3,5264,15,Protocatechuic acid,0.07,,,,,,,,,
200,3,5265,Water,Water,0.06,,,,,,,,,
300,3,5265,1,L-Arabinose,0.62,,,,,,,,,
300,3,5265,2,D-Fructose,0.75,,,,,,,,,
300,3,5265,3,D-Galactose,0.77,,,,,,,,,
300,3,5265,4,D-Glucose,0.48,,,,,,,,,
300,3,5265,5,N-Acetyl-D-glucosamine,0.12,,,,,,,,,
300,3,5265,6,Citric acid,5.38,,,,,,,,,
300,3,5265,7,Oxalic acid,3.24,,,,,,,,,
300,3,5265,8,L-Malic acid,3.45,,,,,,,,,
300,3,5265,9,Fumaric acid,0.37,,,,,,,,,
300,3,5265,10,L-Alanine,0.11,,,,,,,,,
300,3,5265,11,DL-aspatic acid,0.2,,,,,,,,,
300,3,5265,12,γ-Aminobutyric acid,0.11,,,,,,,,,
300,3,5265,13,L-lysine hydrochloride,0.09,,,,,,,,,
300,3,5265,14,L-Arginine,0.04,,,,,,,,,
300,3,5265,15,Protocatechuic acid,0.11,,,,,,,,,
300,3,5265,Water,Water,0.06,,,,,,,,,
400,3,5266,1,L-Arabinose,0.49,,,,,,,,,
400,3,5266,2,D-Fructose,0.65,,,,,,,,,
400,3,5266,3,D-Galactose,0.43,,,,,,,,,
400,3,5266,4,D-Glucose,0.51,,,,,,,,,
400,3,5266,5,N-Acetyl-D-glucosamine,0.18,,,,,,,,,
400,3,5266,6,Citric acid,4.59,,,,,,,,,
400,3,5266,7,Oxalic acid,3.63,,,,,,,,,
400,3,5266,8,L-Malic acid,2.3,,,,,,,,,
400,3,5266,9,Fumaric acid,0.14,,,,,,,,,
400,3,5266,10,L-Alanine,0.13,,,,,,,,,
400,3,5266,11,DL-aspatic acid,0.15,,,,,,,,,
400,3,5266,12,γ-Aminobutyric acid,0.12,,,,,,,,,
400,3,5266,13,L-lysine hydrochloride,0.07,,,,,,,,,
400,3,5266,14,L-Arginine,0.04,,,,,,,,,
400,3,5266,15,Protocatechuic acid,0.15,,,,,,,,,
400,3,5266,Water,Water,0.06,,,,,,,,,
500,3,5267,1,L-Arabinose,0.77,,,,,,,,,
500,3,5267,2,D-Fructose,0.93,,,,,,,,,
500,3,5267,3,D-Galactose,0.71,,,,,,,,,
500,3,5267,4,D-Glucose,0.38,,,,,,,,,
500,3,5267,5,N-Acetyl-D-glucosamine,0.2,,,,,,,,,
500,3,5267,6,Citric acid,4.43,,,,,,,,,
500,3,5267,7,Oxalic acid,3.16,,,,,,,,,
500,3,5267,8,L-Malic acid,2.54,,,,,,,,,
500,3,5267,9,Fumaric acid,0.18,,,,,,,,,
500,3,5267,10,L-Alanine,0.18,,,,,,,,,
500,3,5267,11,DL-aspatic acid,0.19,,,,,,,,,
500,3,5267,12,γ-Aminobutyric acid,0.14,,,,,,,,,
500,3,5267,13,L-lysine hydrochloride,0.13,,,,,,,,,
500,3,5267,14,L-Arginine,0.04,,,,,,,,,
500,3,5267,15,Protocatechuic acid,0.19,,,,,,,,,
500,3,5267,Water,Water,0.07,,,,,,,,,
200,4,5268,1,L-Arabinose,0.64,,,,,,,,,
200,4,5268,2,D-Fructose,0.56,,,,,,,,,
200,4,5268,3,D-Galactose,0.71,,,,,,,,,
200,4,5268,4,D-Glucose,0.43,,,,,,,,,
200,4,5268,5,N-Acetyl-D-glucosamine,0.12,,,,,,,,,
200,4,5268,6,Citric acid,4.9,,,,,,,,,
200,4,5268,7,Oxalic acid,2.77,,,,,,,,,
200,4,5268,8,L-Malic acid,2.07,,,,,,,,,
200,4,5268,9,Fumaric acid,0.15,,,,,,,,,
200,4,5268,10,L-Alanine,0.11,,,,,,,,,
200,4,5268,11,DL-aspatic acid,0.14,,,,,,,,,
200,4,5268,12,γ-Aminobutyric acid,0.1,,,,,,,,,
200,4,5268,13,L-lysine hydrochloride,0.08,,,,,,,,,
200,4,5268,14,L-Arginine,0.04,,,,,,,,,
200,4,5268,15,Protocatechuic acid,0.14,,,,,,,,,
200,4,5268,Water,Water,0.06,,,,,,,,,
300,4,5269,1,L-Arabinose,0.62,,,,,,,,,
300,4,5269,2,D-Fructose,0.68,,,,,,,,,
300,4,5269,3,D-Galactose,0.63,,,,,,,,,
300,4,5269,4,D-Glucose,0.8,,,,,,,,,
300,4,5269,5,N-Acetyl-D-glucosamine,0.16,,,,,,,,,
300,4,5269,6,Citric acid,4.48,,,,,,,,,
300,4,5269,7,Oxalic acid,2.44,,,,,,,,,
300,4,5269,8,L-Malic acid,2.42,,,,,,,,,
300,4,5269,9,Fumaric acid,0.48,,,,,,,,,
300,4,5269,10,L-Alanine,0.17,,,,,,,,,
300,4,5269,11,DL-aspatic acid,0.21,,,,,,,,,
300,4,5269,12,γ-Aminobutyric acid,0.13,,,,,,,,,
300,4,5269,13,L-lysine hydrochloride,0.12,,,,,,,,,
300,4,5269,14,L-Arginine,0.04,,,,,,,,,
300,4,5269,15,Protocatechuic acid,0.1,,,,,,,,,
300,4,5269,Water,Water,0.06,,,,,,,,,
400,4,5270,1,L-Arabinose,0.42,,,,,,,,,
400,4,5270,2,D-Fructose,0.35,,,,,,,,,
400,4,5270,3,D-Galactose,0.2,,,,,,,,,
400,4,5270,4,D-Glucose,0.46,,,,,,,,,
400,4,5270,5,N-Acetyl-D-glucosamine,0.06,,,,,,,,,
400,4,5270,6,Citric acid,4.61,,,,,,,,,
400,4,5270,7,Oxalic acid,3.29,,,,,,,,,
400,4,5270,8,L-Malic acid,1.07,,,,,,,,,
400,4,5270,9,Fumaric acid,0.17,,,,,,,,,
400,4,5270,10,L-Alanine,0.11,,,,,,,,,
400,4,5270,11,DL-aspatic acid,0.12,,,,,,,,,
400,4,5270,12,γ-Aminobutyric acid,0.22,,,,,,,,,
400,4,5270,13,L-lysine hydrochloride,0.08,,,,,,,,,
400,4,5270,14,L-Arginine,0.04,,,,,,,,,
400,4,5270,15,Protocatechuic acid,0.1,,,,,,,,,
400,4,5270,Water,Water,0.06,,,,,,,,,
500,4,5271,1,L-Arabinose,0.37,,,,,,,,,
500,4,5271,2,D-Fructose,0.55,,,,,,,,,
500,4,5271,3,D-Galactose,0.58,,,,,,,,,
500,4,5271,4,D-Glucose,0.58,,,,,,,,,
500,4,5271,5,N-Acetyl-D-glucosamine,0.17,,,,,,,,,
500,4,5271,6,Citric acid,3.75,,,,,,,,,
500,4,5271,7,Oxalic acid,2.63,,,,,,,,,
500,4,5271,8,L-Malic acid,0.32,,,,,,,,,
500,4,5271,9,Fumaric acid,0.07,,,,,,,,,
500,4,5271,10,L-Alanine,0.17,,,,,,,,,
500,4,5271,11,DL-aspatic acid,0.26,,,,,,,,,
500,4,5271,12,γ-Aminobutyric acid,0.07,,,,,,,,,
500,4,5271,13,L-lysine hydrochloride,0.06,,,,,,,,,
500,4,5271,14,L-Arginine,0.04,,,,,,,,,
500,4,5271,15,Protocatechuic acid,0.1,,,,,,,,,
500,4,5271,Water,Water,0.06,,,,,,,,,
200,3,5272,1,L-Arabinose,0.11,,,,,,,,,
200,3,5272,2,D-Fructose,0.78,,,,,,,,,
200,3,5272,3,D-Galactose,0.08,,,,,,,,,
200,3,5272,4,D-Glucose,0.3,,,,,,,,,
200,3,5272,5,N-Acetyl-D-glucosamine,0.14,,,,,,,,,
200,3,5272,6,Citric acid,4.91,,,,,,,,,
200,3,5272,7,Oxalic acid,3.08,,,,,,,,,
200,3,5272,8,L-Malic acid,1.66,,,,,,,,,
200,3,5272,9,Fumaric acid,0.17,,,,,,,,,
200,3,5272,10,L-Alanine,0.11,,,,,,,,,
200,3,5272,11,DL-aspatic acid,0.11,,,,,,,,,
200,3,5272,12,γ-Aminobutyric acid,0.11,,,,,,,,,
200,3,5272,13,L-lysine hydrochloride,0.08,,,,,,,,,
200,3,5272,14,L-Arginine,0.04,,,,,,,,,
200,3,5272,15,Protocatechuic acid,0.09,,,,,,,,,
200,3,5272,Water,Water,0.05,,,,,,,,,
300,3,5273,1,L-Arabinose,0.82,,,,,,,,,
300,3,5273,2,D-Fructose,1.02,,,,,,,,,
300,3,5273,3,D-Galactose,0.75,,,,,,,,,
300,3,5273,4,D-Glucose,0.11,,,,,,,,,
300,3,5273,5,N-Acetyl-D-glucosamine,0.21,,,,,,,,,
300,3,5273,6,Citric acid,5.13,,,,,,,,,
300,3,5273,7,Oxalic acid,3.39,,,,,,,,,
300,3,5273,8,L-Malic acid,2.5,,,,,,,,,
300,3,5273,9,Fumaric acid,0.27,,,,,,,,,
300,3,5273,10,L-Alanine,0.21,,,,,,,,,
300,3,5273,11,DL-aspatic acid,0.17,,,,,,,,,
300,3,5273,12,γ-Aminobutyric acid,0.12,,,,,,,,,
300,3,5273,13,L-lysine hydrochloride,0.09,,,,,,,,,
300,3,5273,14,L-Arginine,0.04,,,,,,,,,
300,3,5273,15,Protocatechuic acid,0.1,,,,,,,,,
300,3,5273,Water,Water,0.07,,,,,,,,,
400,3,5274,1,L-Arabinose,0.95,,,,,,,,,
400,3,5274,2,D-Fructose,0.81,,,,,,,,,
400,3,5274,3,D-Galactose,0.93,,,,,,,,,
400,3,5274,4,D-Glucose,0.8,,,,,,,,,
400,3,5274,5,N-Acetyl-D-glucosamine,0.21,,,,,,,,,
400,3,5274,6,Citric acid,6.3,,,,,,,,,
400,3,5274,7,Oxalic acid,4.46,,,,,,,,,
400,3,5274,8,L-Malic acid,3.83,,,,,,,,,
400,3,5274,9,Fumaric acid,0.26,,,,,,,,,
400,3,5274,10,L-Alanine,0.16,,,,,,,,,
400,3,5274,11,DL-aspatic acid,0.22,,,,,,,,,
400,3,5274,12,γ-Aminobutyric acid,0.19,,,,,,,,,
400,3,5274,13,L-lysine hydrochloride,0.12,,,,,,,,,
400,3,5274,14,L-Arginine,0.04,,,,,,,,,
400,3,5274,15,Protocatechuic acid,0.21,,,,,,,,,
400,3,5274,Water,Water,0.07,,,,,,,,,
500,3,5275,1,L-Arabinose,1.06,,,,,,,,,
500,3,5275,2,D-Fructose,1.08,,,,,,,,,
500,3,5275,3,D-Galactose,0.77,,,,,,,,,
500,3,5275,4,D-Glucose,0.93,,,,,,,,,
500,3,5275,5,N-Acetyl-D-glucosamine,0.18,,,,,,,,,
500,3,5275,6,Citric acid,6.62,,,,,,,,,
500,3,5275,7,Oxalic acid,4.27,,,,,,,,,
500,3,5275,8,L-Malic acid,3.55,,,,,,,,,
500,3,5275,9,Fumaric acid,0.46,,,,,,,,,
500,3,5275,10,L-Alanine,0.15,,,,,,,,,
500,3,5275,11,DL-aspatic acid,0.25,,,,,,,,,
500,3,5275,12,γ-Aminobutyric acid,0.17,,,,,,,,,
500,3,5275,13,L-lysine hydrochloride,0.13,,,,,,,,,
500,3,5275,14,L-Arginine,0.06,,,,,,,,,
500,3,5275,15,Protocatechuic acid,0.21,,,,,,,,,
500,3,5275,Water,Water,0.08,,,,,,,,,
200,4,5276,1,L-Arabinose,1.02,,,,,,,,,
200,4,5276,2,D-Fructose,2.13,,,,,,,,,
200,4,5276,3,D-Galactose,0.94,,,,,,,,,
200,4,5276,4,D-Glucose,0.92,,,,,,,,,
200,4,5276,5,N-Acetyl-D-glucosamine,0.2,,,,,,,,,
200,4,5276,6,Citric acid,6.78,,,,,,,,,
200,4,5276,7,Oxalic acid,4.63,,,,,,,,,
200,4,5276,8,L-Malic acid,4.23,,,,,,,,,
200,4,5276,9,Fumaric acid,0.29,,,,,,,,,
200,4,5276,10,L-Alanine,0.18,,,,,,,,,
200,4,5276,11,DL-aspatic acid,0.35,,,,,,,,,
200,4,5276,12,γ-Aminobutyric acid,0.19,,,,,,,,,
200,4,5276,13,L-lysine hydrochloride,0.14,,,,,,,,,
200,4,5276,14,L-Arginine,0.05,,,,,,,,,
200,4,5276,15,Protocatechuic acid,0.19,,,,,,,,,
200,4,5276,Water,Water,0.08,,,,,,,,,
300,4,5277,1,L-Arabinose,1.2,,,,,,,,,
300,4,5277,2,D-Fructose,0.89,,,,,,,,,
300,4,5277,3,D-Galactose,0.99,,,,,,,,,
300,4,5277,4,D-Glucose,0.16,,,,,,,,,
300,4,5277,5,N-Acetyl-D-glucosamine,0.25,,,,,,,,,
